Event_ID,Event_Title,Date,Day_of_Navratri,State,City,Event_Type,Category,Participants,Donations,Duration_Hours,Rating,Age_Group,Venue_Type,Organizer,Entry_Fee,Food_Stalls,Live_Music,Celebrity_Guest,Prize_Money,Sponsor,Media_Coverage,Social_Media_Reach,Repeat_Attendees,First_Time_Attendees,Female_Participants,Male_Participants,Volunteers,Safety_Measures,Parking_Available,Accessibility,Environmental_Impact
1079,Techno Garba Dance Festival,2025-09-15,Day 1,Maharashtra,Nagpur,Techno Garba,Comparative Study: Navratri Celebrations in Different States of India,627,109760.69,5,4.5,Youth (13-25),College Ground,Corporate CSR Initiative,150,Yes,Yes,No,0,No,Yes,49758,58,32,56,47,27,Good,Yes,Not Accessible,Moderate
1081,Techno Garba Dance Festival,2025-09-15,Day 1,Delhi,Gurgaon,Techno Garba,Devi-Devata in Indian Scriptures & their Symbolism,1002,102022.82,5,4.7,Senior (45+),Stadium,Temple Trust,200,No,No,Yes,0,Yes,No,20363,41,39,66,44,26,Excellent,No,Limited,Moderate
1098,Navratri Cultural Evening,2025-09-15,Day 1,West Bengal,Durgapur,Cultural Program,Eco-Friendly Navratri: Green Celebrations & Sustainability,161,29518.32,2,4.1,Kids (5-12),Stadium,Local Community Committee,200,Yes,Yes,No,0,Yes,Yes,38465,58,60,65,39,18,Good,Yes,Not Accessible,Moderate
1129,College Navratri Fest,2025-09-15,Day 1,Delhi,Dwarka,College Fest,"Festivals & Rasa: Economy, Handicrafts, Folk Art & Small Businesses",697,106738.83,6,4.0,Youth (13-25),Public Park,Corporate CSR Initiative,0,Yes,No,No,0,Yes,No,39709,48,25,64,32,27,Average,No,Wheelchair Accessible,Moderate
1139,Garba Dance Competition,2025-09-15,Day 1,Maharashtra,Nagpur,Competition,Social & Economic Impact of Navratri Celebrations,179,51066.55,5,3.8,Youth (13-25),Stadium,Local Community Committee,200,Yes,No,No,0,No,No,37413,36,38,69,53,24,Good,Yes,Limited,Traditional
1141,Navratri Cultural Evening,2025-09-15,Day 1,Uttar Pradesh,Agra,Cultural Program,Garba & Dandiya: Cultural & Global Influence,182,54168.28,2,3.9,All Ages,Community Hall,Cultural Society,100,Yes,No,No,0,No,No,25123,71,70,55,45,11,Good,Yes,Wheelchair Accessible,Traditional
1144,Grand Dandiya Celebration,2025-09-15,Day 1,Rajasthan,Bikaner,Dandiya Night,Spiritual Significance of Nine Nights (Navratri as Inner Transformation),430,55090.5,7,4.0,All Ages,Public Park,Residential Welfare Association,150,Yes,No,No,0,No,No,17544,47,73,45,51,31,Excellent,No,Wheelchair Accessible,Moderate
1173,Navratri Cultural Evening,2025-09-15,Day 1,Maharashtra,Pune,Cultural Program,Devi-Devata in Indian Scriptures & their Symbolism,357,72243.22,4,3.8,All Ages,College Ground,NGO - Women Empowerment,0,No,No,No,0,Yes,No,22889,61,57,48,44,28,Excellent,No,Limited,Traditional
1185,Navratri Cultural Evening,2025-09-15,Day 1,Karnataka,Belgaum,Cultural Program,Mata Sati & the Significance of Shakti Peethas,186,41230.7,2,3.8,Adults (26-45),Hotel Banquet,Residential Welfare Association,0,Yes,Yes,No,0,No,No,16966,77,70,48,38,13,Excellent,No,Limited,Traditional
1193,Grand Dandiya Celebration,2025-09-15,Day 1,West Bengal,Asansol,Dandiya Night,Spiritual Significance of Nine Nights (Navratri as Inner Transformation),326,67470.84,5,4.1,Senior (45+),Open Ground,Local Community Committee,100,Yes,Yes,No,0,Yes,Yes,19255,63,41,67,38,43,Good,Yes,Limited,Eco-Friendly
1204,Celebrity Navratri Night,2025-09-15,Day 1,Uttar Pradesh,Varanasi,Celebrity Night,Devi-Devata in Indian Scriptures & their Symbolism,622,75064.49,5,4.4,Kids (5-12),Open Ground,NGO - Women Empowerment,0,Yes,Yes,No,0,No,No,7568,61,47,45,40,27,Excellent,Yes,Wheelchair Accessible,Eco-Friendly
1208,Navratri Cultural Evening,2025-09-15,Day 1,Delhi,Dwarka,Cultural Program,Goddess Devi & Her Nine Forms (Navadurga),268,76447.12,2,3.9,Youth (13-25),School Campus,Municipal Corporation,150,Yes,Yes,No,0,Yes,Yes,8366,32,66,69,33,31,Excellent,Yes,Not Accessible,Moderate
1223,Techno Garba Dance Festival,2025-09-15,Day 1,Uttar Pradesh,Meerut,Techno Garba,Eco-Friendly Navratri: Green Celebrations & Sustainability,519,142494.33,6,4.0,Youth (13-25),Open Ground,NGO - Women Empowerment,150,No,Yes,No,0,Yes,No,3429,50,34,59,48,43,Good,Yes,Wheelchair Accessible,Moderate
1228,Grand Dandiya Celebration,2025-09-15,Day 1,Tamil Nadu,Tirunelveli,Dandiya Night,Women Empowerment through Devi Worship,388,89059.6,6,3.9,Kids (5-12),Open Ground,Cultural Society,150,No,Yes,No,0,No,No,32556,58,63,65,34,16,Good,Yes,Wheelchair Accessible,Traditional
1238,Navratri Cultural Evening,2025-09-15,Day 1,West Bengal,Asansol,Cultural Program,"Festivals & Rasa: Economy, Handicrafts, Folk Art & Small Businesses",192,56520.32,3,3.5,Youth (13-25),School Campus,Local Community Committee,0,Yes,No,No,0,No,Yes,36712,44,38,50,36,12,Excellent,Yes,Wheelchair Accessible,Moderate
1259,Techno Garba Dance Festival,2025-09-15,Day 1,West Bengal,Asansol,Techno Garba,Mata Sati & the Significance of Shakti Peethas,550,131853.42,6,4.2,Youth (13-25),Open Ground,Local Community Committee,200,Yes,Yes,No,0,No,Yes,6519,45,51,61,40,16,Excellent,Yes,Limited,Moderate
1276,Kids Navratri Special,2025-09-15,Day 1,Maharashtra,Pune,Kids Special,Eco-Friendly Navratri: Green Celebrations & Sustainability,236,54455.66,2,3.9,Kids (5-12),Stadium,Temple Trust,0,No,Yes,No,0,No,No,19608,55,58,54,45,47,Good,Yes,Limited,Moderate
1282,Kids Navratri Special,2025-09-15,Day 1,West Bengal,Durgapur,Kids Special,Importance of Shrishti (Creation) & Cosmic Energy,163,32787.76,4,3.8,Adults (26-45),Public Park,Local Community Committee,0,Yes,Yes,No,0,No,No,3934,42,54,69,43,46,Excellent,Yes,Limited,Eco-Friendly
1285,Techno Garba Dance Festival,2025-09-15,Day 1,Karnataka,Mangalore,Techno Garba,Goddess Devi & Her Nine Forms (Navadurga),702,144396.67,4,4.4,Senior (45+),Stadium,NGO - Women Empowerment,0,Yes,No,No,0,No,Yes,30990,61,53,55,53,19,Good,Yes,Limited,Traditional
1299,Grand Dandiya Celebration,2025-09-15,Day 1,Madhya Pradesh,Indore,Dandiya Night,Eco-Friendly Navratri: Green Celebrations & Sustainability,206,54152.06,7,4.1,Kids (5-12),School Campus,Corporate CSR Initiative,100,No,Yes,No,0,Yes,Yes,5136,58,55,46,33,32,Excellent,Yes,Not Accessible,Eco-Friendly
1300,Celebrity Navratri Night,2025-09-15,Day 1,Uttar Pradesh,Lucknow,Celebrity Night,"Fasting Foods, Rituals & Health Benefits",775,164948.42,4,4.1,Youth (13-25),College Ground,Temple Trust,150,Yes,Yes,No,0,Yes,No,28624,64,37,55,44,27,Average,Yes,Not Accessible,Eco-Friendly
1319,Celebrity Navratri Night,2025-09-15,Day 1,Uttar Pradesh,Meerut,Celebrity Night,Importance of Shrishti (Creation) & Cosmic Energy,530,139949.92,6,4.7,Kids (5-12),Open Ground,Local Community Committee,0,No,Yes,No,0,No,No,24244,71,71,68,46,40,Excellent,Yes,Wheelchair Accessible,Moderate
1320,College Navratri Fest,2025-09-15,Day 1,Rajasthan,Ajmer,College Fest,Navratri as a Platform for Social Unity & Diversity,736,155915.02,7,3.9,Youth (13-25),Open Ground,NGO - Women Empowerment,200,Yes,Yes,No,0,No,No,23491,27,66,64,52,43,Average,Yes,Limited,Eco-Friendly
1327,Garba Dance Competition,2025-09-15,Day 1,Tamil Nadu,Trichy,Competition,Social & Economic Impact of Navratri Celebrations,128,32176.79,4,3.6,Senior (45+),Open Ground,Corporate CSR Initiative,0,No,No,No,25000,Yes,No,39952,78,74,67,32,14,Excellent,Yes,Limited,Eco-Friendly
1329,Grand Dandiya Celebration,2025-09-15,Day 1,Rajasthan,Kota,Dandiya Night,Comparative Study: Navratri Celebrations in Different States of India,484,134292.42,5,4.0,Kids (5-12),School Campus,Temple Trust,200,Yes,Yes,No,0,No,No,43549,23,51,63,47,22,Excellent,Yes,Wheelchair Accessible,Eco-Friendly
1335,Kids Navratri Special,2025-09-15,Day 1,Karnataka,Belgaum,Kids Special,Comparative Study: Navratri Celebrations in Different States of India,283,46489.9,3,4.0,Adults (26-45),Stadium,School Management,0,No,Yes,No,0,No,Yes,13213,35,63,51,43,45,Excellent,Yes,Wheelchair Accessible,Traditional
1375,Celebrity Navratri Night,2025-09-15,Day 1,Punjab,Jalandhar,Celebrity Night,Women Empowerment through Devi Worship,485,56955.29,4,4.9,All Ages,Stadium,Residential Welfare Association,150,Yes,No,No,0,Yes,Yes,49043,61,51,64,36,35,Excellent,Yes,Wheelchair Accessible,Eco-Friendly
1382,College Navratri Fest,2025-09-15,Day 1,West Bengal,Asansol,College Fest,Devi-Devata in Indian Scriptures & their Symbolism,299,80726.1,6,4.1,Youth (13-25),Temple Complex,Youth Association,0,Yes,No,No,0,No,Yes,28453,48,58,68,54,16,Good,No,Wheelchair Accessible,Moderate
1385,Celebrity Navratri Night,2025-09-15,Day 1,Delhi,New Delhi,Celebrity Night,Devi-Devata in Indian Scriptures & their Symbolism,1188,118592.1,5,4.1,Kids (5-12),School Campus,Local Community Committee,100,Yes,Yes,No,0,No,No,1730,76,47,48,32,47,Excellent,Yes,Wheelchair Accessible,Eco-Friendly
1389,College Navratri Fest,2025-09-15,Day 1,Karnataka,Mysore,College Fest,Goddess Devi & Her Nine Forms (Navadurga),556,142674.3,7,4.2,All Ages,Open Ground,College Cultural Committee,150,No,No,No,0,No,No,18776,58,36,45,50,22,Good,Yes,Limited,Traditional
1406,Garba Dance Competition,2025-09-15,Day 1,Uttar Pradesh,Kanpur,Competition,Indian Culture & Traditions during Navratri,159,22675.67,4,3.9,Senior (45+),Community Hall,College Cultural Committee,150,Yes,Yes,No,5000,No,No,9266,67,48,63,45,18,Good,Yes,Wheelchair Accessible,Eco-Friendly
1427,Traditional Navratri Garba Night,2025-09-15,Day 1,Rajasthan,Bikaner,Traditional Garba,Social & Economic Impact of Navratri Celebrations,362,99526.93,3,4.5,Adults (26-45),Temple Complex,Youth Association,100,Yes,Yes,No,0,No,No,47489,46,73,51,48,17,Excellent,Yes,Limited,Eco-Friendly
1436,Garba Dance Competition,2025-09-15,Day 1,Karnataka,Belgaum,Competition,"Fasting Foods, Rituals & Health Benefits",103,13639.6,3,3.7,All Ages,Community Hall,College Cultural Committee,0,Yes,No,No,50000,No,No,17676,27,54,59,53,15,Average,Yes,Wheelchair Accessible,Moderate
1440,Traditional Navratri Garba Night,2025-09-15,Day 1,Maharashtra,Mumbai,Traditional Garba,Women Empowerment through Devi Worship,371,68684.33,3,4.4,All Ages,Public Park,NGO - Women Empowerment,0,Yes,Yes,No,0,Yes,Yes,5454,45,55,45,31,24,Good,Yes,Limited,Moderate
1450,Navratri Cultural Evening,2025-09-15,Day 1,Uttar Pradesh,Lucknow,Cultural Program,Garba & Dandiya: Cultural & Global Influence,245,35581.43,2,3.8,Youth (13-25),School Campus,Residential Welfare Association,100,Yes,Yes,No,0,No,Yes,18184,47,50,62,36,49,Average,Yes,Wheelchair Accessible,Eco-Friendly
1465,College Navratri Fest,2025-09-15,Day 1,Rajasthan,Udaipur,College Fest,"Fasting Foods, Rituals & Health Benefits",683,68448.31,6,4.7,Youth (13-25),Stadium,Municipal Corporation,150,Yes,Yes,No,0,Yes,No,41663,34,40,54,33,13,Good,Yes,Wheelchair Accessible,Moderate
1490,Navratri Cultural Evening,2025-09-15,Day 1,Madhya Pradesh,Bhopal,Cultural Program,Eco-Friendly Navratri: Green Celebrations & Sustainability,206,54937.3,4,3.5,All Ages,College Ground,College Cultural Committee,0,No,Yes,No,0,Yes,No,6702,47,43,57,39,24,Good,Yes,Wheelchair Accessible,Moderate
1499,Traditional Navratri Garba Night,2025-09-15,Day 1,Gujarat,Bhavnagar,Traditional Garba,"Festivals & Rasa: Economy, Handicrafts, Folk Art & Small Businesses",395,46573.9,5,4.3,Kids (5-12),Open Ground,Cultural Society,0,Yes,No,Yes,0,No,Yes,35810,44,43,56,31,18,Excellent,Yes,Wheelchair Accessible,Moderate
1503,College Navratri Fest,2025-09-15,Day 1,Rajasthan,Jaipur,College Fest,Importance of Shrishti (Creation) & Cosmic Energy,511,130646.76,6,4.0,Youth (13-25),Temple Complex,Local Community Committee,0,No,Yes,Yes,0,No,No,24915,42,68,53,39,29,Good,No,Wheelchair Accessible,Moderate
1507,Techno Garba Dance Festival,2025-09-15,Day 1,Gujarat,Ahmedabad,Techno Garba,Spiritual Significance of Nine Nights (Navratri as Inner Transformation),450,98245.78,5,4.6,Adults (26-45),Temple Complex,NGO - Women Empowerment,0,Yes,No,No,0,No,No,34166,36,47,61,36,13,Excellent,Yes,Limited,Eco-Friendly
1544,Celebrity Navratri Night,2025-09-15,Day 1,West Bengal,Malda,Celebrity Night,Navratri as a Platform for Social Unity & Diversity,501,96993.9,5,4.3,Youth (13-25),Open Ground,Local Community Committee,0,Yes,No,No,0,No,No,37067,36,28,64,42,38,Excellent,Yes,Wheelchair Accessible,Moderate
1563,Celebrity Navratri Night,2025-09-15,Day 1,Delhi,Ghaziabad,Celebrity Night,Social & Economic Impact of Navratri Celebrations,1248,218192.18,6,4.3,Adults (26-45),Temple Complex,School Management,0,Yes,Yes,No,0,No,No,20074,22,44,61,33,47,Excellent,Yes,Wheelchair Accessible,Moderate
1593,Celebrity Navratri Night,2025-09-15,Day 1,Uttar Pradesh,Allahabad,Celebrity Night,Eco-Friendly Navratri: Green Celebrations & Sustainability,631,147173.55,6,4.3,Adults (26-45),Open Ground,Youth Association,0,Yes,Yes,Yes,0,No,No,29380,79,55,52,53,11,Good,Yes,Wheelchair Accessible,Moderate
1594,Kids Navratri Special,2025-09-15,Day 1,Karnataka,Belgaum,Kids Special,"Fasting Foods, Rituals & Health Benefits",298,45780.13,2,4.2,Adults (26-45),Open Ground,Residential Welfare Association,100,Yes,No,No,0,No,No,48646,56,37,50,42,32,Good,Yes,Not Accessible,Moderate
1003,Celebrity Navratri Night,2025-09-16,Day 2,Punjab,Patiala,Celebrity Night,Navratri as a Platform for Social Unity & Diversity,483,137106.77,6,4.7,Youth (13-25),Temple Complex,Cultural Society,0,Yes,Yes,No,0,Yes,Yes,10268,43,55,69,43,38,Good,Yes,Not Accessible,Moderate
1007,Traditional Navratri Garba Night,2025-09-16,Day 2,Gujarat,Vadodara,Traditional Garba,Indian Culture & Traditions during Navratri,336,94019.01,5,4.5,Senior (45+),Hotel Banquet,College Cultural Committee,50,No,Yes,No,0,No,Yes,26342,57,57,49,36,43,Good,Yes,Wheelchair Accessible,Traditional
1025,Techno Garba Dance Festival,2025-09-16,Day 2,Maharashtra,Aurangabad,Techno Garba,Indian Culture & Traditions during Navratri,610,117777.39,6,4.3,Adults (26-45),School Campus,Cultural Society,100,Yes,No,No,0,No,No,37932,53,75,65,54,22,Excellent,Yes,Wheelchair Accessible,Moderate
1036,Grand Dandiya Celebration,2025-09-16,Day 2,Madhya Pradesh,Indore,Dandiya Night,Social & Economic Impact of Navratri Celebrations,425,88890.88,7,4.2,Youth (13-25),School Campus,Cultural Society,0,Yes,Yes,No,0,No,No,29734,62,59,62,35,16,Average,Yes,Limited,Traditional
1045,Navratri Cultural Evening,2025-09-16,Day 2,West Bengal,Durgapur,Cultural Program,"Music, Dance & Art Forms of Navratri across India",135,22813.22,4,4.0,Adults (26-45),Stadium,NGO - Women Empowerment,200,Yes,No,No,0,No,No,45481,74,46,54,54,39,Excellent,Yes,Wheelchair Accessible,Traditional
1051,Traditional Navratri Garba Night,2025-09-16,Day 2,Gujarat,Ahmedabad,Traditional Garba,Devi-Devata in Indian Scriptures & their Symbolism,569,61599.21,5,4.4,Senior (45+),Public Park,NGO - Women Empowerment,50,Yes,No,No,0,Yes,No,19271,55,31,48,39,21,Excellent,Yes,Wheelchair Accessible,Moderate
1056,Celebrity Navratri Night,2025-09-16,Day 2,Uttar Pradesh,Kanpur,Celebrity Night,Mata Sati & the Significance of Shakti Peethas,780,96745.78,6,4.7,Youth (13-25),Hotel Banquet,Municipal Corporation,200,No,Yes,No,0,Yes,No,26291,27,73,62,36,16,Good,Yes,Limited,Moderate
1066,Navratri Cultural Evening,2025-09-16,Day 2,Rajasthan,Jodhpur,Cultural Program,Spiritual Significance of Nine Nights (Navratri as Inner Transformation),285,55559.56,4,4.0,Youth (13-25),Open Ground,Youth Association,0,Yes,No,Yes,0,No,Yes,25611,39,77,66,49,10,Excellent,Yes,Wheelchair Accessible,Eco-Friendly
1088,Garba Dance Competition,2025-09-16,Day 2,Gujarat,Surat,Competition,Women Empowerment through Devi Worship,207,35311.8,3,4.1,Kids (5-12),Community Hall,Municipal Corporation,0,No,Yes,No,10000,Yes,No,38823,51,74,65,36,35,Excellent,No,Limited,Eco-Friendly
1127,College Navratri Fest,2025-09-16,Day 2,Punjab,Patiala,College Fest,"Fasting Foods, Rituals & Health Benefits",236,60288.66,5,4.3,Kids (5-12),School Campus,Youth Association,150,Yes,Yes,No,0,No,No,19624,24,54,60,50,49,Excellent,No,Limited,Moderate
1153,Grand Dandiya Celebration,2025-09-16,Day 2,Uttar Pradesh,Kanpur,Dandiya Night,Women Empowerment through Devi Worship,297,55331.04,7,4.0,All Ages,Public Park,Corporate CSR Initiative,0,No,Yes,No,0,No,No,36303,32,36,61,39,46,Good,No,Limited,Traditional
1166,College Navratri Fest,2025-09-16,Day 2,Punjab,Patiala,College Fest,Navratri as a Platform for Social Unity & Diversity,378,91070.41,5,4.3,Adults (26-45),Hotel Banquet,NGO - Women Empowerment,150,No,No,No,0,No,No,32601,24,28,51,54,32,Good,Yes,Not Accessible,Moderate
1172,Traditional Navratri Garba Night,2025-09-16,Day 2,Madhya Pradesh,Jabalpur,Traditional Garba,"Fasting Foods, Rituals & Health Benefits",277,54772.18,4,4.2,Youth (13-25),Stadium,Youth Association,0,Yes,No,Yes,0,No,No,44485,50,46,69,35,40,Excellent,Yes,Limited,Moderate
1234,Traditional Navratri Garba Night,2025-09-16,Day 2,Gujarat,Vadodara,Traditional Garba,Garba & Dandiya: Cultural & Global Influence,313,37161.06,5,4.6,Kids (5-12),Stadium,Youth Association,100,Yes,Yes,No,0,No,No,11024,76,28,57,44,22,Average,Yes,Limited,Moderate
1239,Traditional Navratri Garba Night,2025-09-16,Day 2,Punjab,Bathinda,Traditional Garba,Indian Culture & Traditions during Navratri,167,27981.06,3,3.8,Senior (45+),Hotel Banquet,Municipal Corporation,0,No,No,No,0,No,No,3302,63,55,52,51,24,Good,Yes,Limited,Traditional
1244,College Navratri Fest,2025-09-16,Day 2,Gujarat,Bhavnagar,College Fest,Comparative Study: Navratri Celebrations in Different States of India,546,109225.72,5,4.6,Kids (5-12),College Ground,College Cultural Committee,0,Yes,Yes,No,0,Yes,No,2849,38,80,49,37,31,Good,No,Not Accessible,Moderate
1245,Navratri Cultural Evening,2025-09-16,Day 2,Uttar Pradesh,Agra,Cultural Program,Women Empowerment through Devi Worship,155,20222.32,4,3.5,Youth (13-25),Public Park,Corporate CSR Initiative,0,Yes,Yes,No,0,Yes,No,23259,67,35,58,55,44,Excellent,Yes,Not Accessible,Eco-Friendly
1246,Grand Dandiya Celebration,2025-09-16,Day 2,Madhya Pradesh,Gwalior,Dandiya Night,Women Empowerment through Devi Worship,215,20903.67,5,4.1,Senior (45+),Temple Complex,College Cultural Committee,50,No,No,No,0,No,No,31728,76,52,62,42,34,Excellent,No,Wheelchair Accessible,Moderate
1248,Grand Dandiya Celebration,2025-09-16,Day 2,Gujarat,Gandhinagar,Dandiya Night,Spiritual Significance of Nine Nights (Navratri as Inner Transformation),380,52191.31,5,4.3,Senior (45+),Stadium,Temple Trust,150,Yes,Yes,No,0,No,Yes,2468,73,40,56,44,11,Excellent,Yes,Wheelchair Accessible,Eco-Friendly
1249,Kids Navratri Special,2025-09-16,Day 2,Punjab,Jalandhar,Kids Special,Garba & Dandiya: Cultural & Global Influence,122,25387.25,4,4.5,All Ages,Hotel Banquet,College Cultural Committee,200,Yes,Yes,No,0,No,No,11762,58,47,62,35,45,Excellent,Yes,Not Accessible,Eco-Friendly
1265,College Navratri Fest,2025-09-16,Day 2,Karnataka,Davangere,College Fest,Goddess Devi & Her Nine Forms (Navadurga),672,144079.36,7,4.1,Senior (45+),Temple Complex,Corporate CSR Initiative,50,Yes,No,No,0,Yes,No,3327,27,39,66,43,17,Excellent,No,Wheelchair Accessible,Eco-Friendly
1266,Traditional Navratri Garba Night,2025-09-16,Day 2,West Bengal,Howrah,Traditional Garba,Women Empowerment through Devi Worship,116,25311.83,4,4.3,Senior (45+),College Ground,College Cultural Committee,0,Yes,Yes,No,0,Yes,No,47057,77,61,63,40,20,Good,Yes,Limited,Eco-Friendly
1290,Kids Navratri Special,2025-09-16,Day 2,Uttar Pradesh,Kanpur,Kids Special,Garba & Dandiya: Cultural & Global Influence,226,59143.16,3,3.8,Senior (45+),Hotel Banquet,Local Community Committee,0,Yes,Yes,No,0,No,Yes,17016,68,47,57,42,20,Good,Yes,Limited,Moderate
1301,Grand Dandiya Celebration,2025-09-16,Day 2,Delhi,New Delhi,Dandiya Night,Garba & Dandiya: Cultural & Global Influence,539,137425.23,5,4.2,Kids (5-12),School Campus,Youth Association,200,Yes,Yes,No,0,No,No,2409,33,35,45,31,25,Excellent,Yes,Wheelchair Accessible,Moderate
1302,College Navratri Fest,2025-09-16,Day 2,Tamil Nadu,Madurai,College Fest,Indian Culture & Traditions during Navratri,386,32018.73,7,4.3,Adults (26-45),Community Hall,Temple Trust,0,Yes,Yes,No,0,No,No,49230,42,49,64,41,22,Good,Yes,Wheelchair Accessible,Moderate
1306,Garba Dance Competition,2025-09-16,Day 2,Uttar Pradesh,Lucknow,Competition,"Fasting Foods, Rituals & Health Benefits",112,24015.62,3,4.2,Youth (13-25),Community Hall,College Cultural Committee,150,Yes,No,No,10000,Yes,No,8378,43,55,57,42,27,Excellent,Yes,Wheelchair Accessible,Moderate
1312,Navratri Cultural Evening,2025-09-16,Day 2,Gujarat,Vadodara,Cultural Program,"Festivals & Rasa: Economy, Handicrafts, Folk Art & Small Businesses",366,52866.34,2,4.5,Youth (13-25),Open Ground,NGO - Women Empowerment,0,No,No,No,0,No,Yes,33813,61,66,45,40,20,Excellent,Yes,Not Accessible,Eco-Friendly
1330,Celebrity Navratri Night,2025-09-16,Day 2,Delhi,Noida,Celebrity Night,Eco-Friendly Navratri: Green Celebrations & Sustainability,885,252033.16,5,4.7,All Ages,Stadium,Temple Trust,100,No,Yes,No,0,Yes,No,2160,45,79,60,50,30,Good,No,Limited,Eco-Friendly
1334,Grand Dandiya Celebration,2025-09-16,Day 2,Madhya Pradesh,Bhopal,Dandiya Night,"Music, Dance & Art Forms of Navratri across India",258,53938.05,6,4.3,Kids (5-12),Open Ground,NGO - Women Empowerment,100,Yes,No,No,0,No,No,19402,49,69,47,45,13,Excellent,Yes,Wheelchair Accessible,Eco-Friendly
1342,Traditional Navratri Garba Night,2025-09-16,Day 2,Maharashtra,Pune,Traditional Garba,Indian Culture & Traditions during Navratri,343,95990.7,3,4.4,Adults (26-45),Public Park,Temple Trust,200,No,Yes,No,0,Yes,No,49926,46,79,69,42,13,Good,Yes,Limited,Moderate
1374,Celebrity Navratri Night,2025-09-16,Day 2,Rajasthan,Bikaner,Celebrity Night,Comparative Study: Navratri Celebrations in Different States of India,467,48028.46,6,4.7,All Ages,School Campus,Corporate CSR Initiative,150,Yes,Yes,Yes,0,No,No,47499,57,25,69,34,48,Excellent,Yes,Limited,Traditional
1380,College Navratri Fest,2025-09-16,Day 2,Madhya Pradesh,Jabalpur,College Fest,"Fasting Foods, Rituals & Health Benefits",417,34249.91,5,4.2,Adults (26-45),College Ground,NGO - Women Empowerment,0,No,Yes,No,0,Yes,No,17259,39,31,63,40,23,Good,Yes,Limited,Traditional
